## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT GM12878_REP1.sorted.bam --OUTPUT GM12878_REP1.markdup.sorted.bam --METRICS_FILE GM12878_REP1.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Mar 22 06:03:08 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	83460428	0	0	0	62979540	0	0.754604	20862838

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	6443858	6443858
2.0	1.018308	3841851	3841851
3.0	1.018643	2655605	2655605
4.0	1.018649	1924061	1924061
5.0	1.018649	1419624	1419624
6.0	1.018649	1054318	1054318
7.0	1.018649	779437	779437
8.0	1.018649	573986	573986
9.0	1.018649	419276	419276
10.0	1.018649	304179	304179
11.0	1.018649	220752	220752
12.0	1.018649	161061	161061
13.0	1.018649	118075	118075
14.0	1.018649	89047	89047
15.0	1.018649	68588	68588
16.0	1.018649	53556	53556
17.0	1.018649	42696	42696
18.0	1.018649	34735	34735
19.0	1.018649	28393	28393
20.0	1.018649	23525	23525
21.0	1.018649	19681	19681
22.0	1.018649	16736	16736
23.0	1.018649	14167	14167
24.0	1.018649	12229	12229
25.0	1.018649	10586	10586
26.0	1.018649	9584	9584
27.0	1.018649	8114	8114
28.0	1.018649	7388	7388
29.0	1.018649	6691	6691
30.0	1.018649	6021	6021
31.0	1.018649	5539	5539
32.0	1.018649	5018	5018
33.0	1.018649	4602	4602
34.0	1.018649	4295	4295
35.0	1.018649	3991	3991
36.0	1.018649	3738	3738
37.0	1.018649	3467	3467
38.0	1.018649	3265	3265
39.0	1.018649	3004	3004
40.0	1.018649	2909	2909
41.0	1.018649	2699	2699
42.0	1.018649	2438	2438
43.0	1.018649	2379	2379
44.0	1.018649	2215	2215
45.0	1.018649	2033	2033
46.0	1.018649	1961	1961
47.0	1.018649	1824	1824
48.0	1.018649	1769	1769
49.0	1.018649	1699	1699
50.0	1.018649	1622	1622
51.0	1.018649	1548	1548
52.0	1.018649	1438	1438
53.0	1.018649	1431	1431
54.0	1.018649	1366	1366
55.0	1.018649	1294	1294
56.0	1.018649	1204	1204
57.0	1.018649	1169	1169
58.0	1.018649	1116	1116
59.0	1.018649	1050	1050
60.0	1.018649	1009	1009
61.0	1.018649	1005	1005
62.0	1.018649	961	961
63.0	1.018649	826	826
64.0	1.018649	907	907
65.0	1.018649	781	781
66.0	1.018649	788	788
67.0	1.018649	807	807
68.0	1.018649	769	769
69.0	1.018649	708	708
70.0	1.018649	684	684
71.0	1.018649	671	671
72.0	1.018649	638	638
73.0	1.018649	587	587
74.0	1.018649	569	569
75.0	1.018649	583	583
76.0	1.018649	561	561
77.0	1.018649	559	559
78.0	1.018649	528	528
79.0	1.018649	538	538
80.0	1.018649	519	519
81.0	1.018649	466	466
82.0	1.018649	499	499
83.0	1.018649	418	418
84.0	1.018649	424	424
85.0	1.018649	427	427
86.0	1.018649	427	427
87.0	1.018649	393	393
88.0	1.018649	373	373
89.0	1.018649	390	390
90.0	1.018649	366	366
91.0	1.018649	329	329
92.0	1.018649	341	341
93.0	1.018649	322	322
94.0	1.018649	351	351
95.0	1.018649	319	319
96.0	1.018649	311	311
97.0	1.018649	302	302
98.0	1.018649	285	285
99.0	1.018649	273	273
100.0	1.018649	294	294
101.0	0	272	272
102.0	0	276	276
103.0	0	257	257
104.0	0	244	244
105.0	0	263	263
106.0	0	235	235
107.0	0	239	239
108.0	0	231	231
109.0	0	241	241
110.0	0	224	224
111.0	0	209	209
112.0	0	202	202
113.0	0	209	209
114.0	0	198	198
115.0	0	185	185
116.0	0	215	215
117.0	0	199	199
118.0	0	176	176
119.0	0	183	183
120.0	0	183	183
121.0	0	161	161
122.0	0	170	170
123.0	0	179	179
124.0	0	171	171
125.0	0	173	173
126.0	0	161	161
127.0	0	132	132
128.0	0	151	151
129.0	0	143	143
130.0	0	146	146
131.0	0	156	156
132.0	0	127	127
133.0	0	142	142
134.0	0	138	138
135.0	0	160	160
136.0	0	131	131
137.0	0	135	135
138.0	0	113	113
139.0	0	126	126
140.0	0	116	116
141.0	0	115	115
142.0	0	122	122
143.0	0	122	122
144.0	0	103	103
145.0	0	107	107
146.0	0	97	97
147.0	0	124	124
148.0	0	98	98
149.0	0	87	87
150.0	0	99	99
151.0	0	112	112
152.0	0	102	102
153.0	0	84	84
154.0	0	112	112
155.0	0	92	92
156.0	0	94	94
157.0	0	86	86
158.0	0	110	110
159.0	0	90	90
160.0	0	85	85
161.0	0	81	81
162.0	0	91	91
163.0	0	86	86
164.0	0	88	88
165.0	0	90	90
166.0	0	88	88
167.0	0	88	88
168.0	0	100	100
169.0	0	86	86
170.0	0	79	79
171.0	0	72	72
172.0	0	61	61
173.0	0	72	72
174.0	0	75	75
175.0	0	67	67
176.0	0	73	73
177.0	0	77	77
178.0	0	70	70
179.0	0	74	74
180.0	0	63	63
181.0	0	64	64
182.0	0	77	77
183.0	0	67	67
184.0	0	75	75
185.0	0	60	60
186.0	0	60	60
187.0	0	66	66
188.0	0	51	51
189.0	0	68	68
190.0	0	51	51
191.0	0	57	57
192.0	0	53	53
193.0	0	67	67
194.0	0	56	56
195.0	0	37	37
196.0	0	50	50
197.0	0	62	62
198.0	0	53	53
199.0	0	49	49
200.0	0	50	50
201.0	0	55	55
202.0	0	45	45
203.0	0	53	53
204.0	0	43	43
205.0	0	50	50
206.0	0	55	55
207.0	0	54	54
208.0	0	42	42
209.0	0	45	45
210.0	0	41	41
211.0	0	43	43
