## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT H1_REP2.sorted.bam --OUTPUT H1_REP2.markdup.sorted.bam --METRICS_FILE H1_REP2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Mar 22 02:48:54 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	93294485	0	0	0	48681430	0	0.521804	54406559

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	27375116	27375116
2.0	1.180006	9608337	9608337
3.0	1.212408	3735689	3735689
4.0	1.218241	1578153	1578153
5.0	1.219291	746904	746904
6.0	1.21948	402734	402734
7.0	1.219514	247188	247188
8.0	1.21952	165204	165204
9.0	1.219521	118662	118662
10.0	1.219521	88753	88753
11.0	1.219521	68530	68530
12.0	1.219521	54451	54451
13.0	1.219521	44444	44444
14.0	1.219521	36681	36681
15.0	1.219521	30582	30582
16.0	1.219521	26667	26667
17.0	1.219521	22859	22859
18.0	1.219521	19695	19695
19.0	1.219521	17352	17352
20.0	1.219521	15153	15153
21.0	1.219521	13435	13435
22.0	1.219521	12049	12049
23.0	1.219521	10955	10955
24.0	1.219521	9744	9744
25.0	1.219521	8778	8778
26.0	1.219521	7988	7988
27.0	1.219521	7412	7412
28.0	1.219521	6633	6633
29.0	1.219521	6179	6179
30.0	1.219521	5770	5770
31.0	1.219521	5360	5360
32.0	1.219521	4779	4779
33.0	1.219521	4641	4641
34.0	1.219521	4144	4144
35.0	1.219521	4040	4040
36.0	1.219521	3664	3664
37.0	1.219521	3362	3362
38.0	1.219521	3241	3241
39.0	1.219521	2946	2946
40.0	1.219521	2833	2833
41.0	1.219521	2716	2716
42.0	1.219521	2576	2576
43.0	1.219521	2386	2386
44.0	1.219521	2284	2284
45.0	1.219521	2230	2230
46.0	1.219521	2096	2096
47.0	1.219521	1932	1932
48.0	1.219521	1908	1908
49.0	1.219521	1743	1743
50.0	1.219521	1669	1669
51.0	1.219521	1672	1672
52.0	1.219521	1563	1563
53.0	1.219521	1405	1405
54.0	1.219521	1387	1387
55.0	1.219521	1391	1391
56.0	1.219521	1282	1282
57.0	1.219521	1250	1250
58.0	1.219521	1173	1173
59.0	1.219521	1097	1097
60.0	1.219521	1130	1130
61.0	1.219521	1011	1011
62.0	1.219521	1019	1019
63.0	1.219521	922	922
64.0	1.219521	924	924
65.0	1.219521	942	942
66.0	1.219521	876	876
67.0	1.219521	819	819
68.0	1.219521	811	811
69.0	1.219521	773	773
70.0	1.219521	727	727
71.0	1.219521	759	759
72.0	1.219521	753	753
73.0	1.219521	762	762
74.0	1.219521	703	703
75.0	1.219521	688	688
76.0	1.219521	638	638
77.0	1.219521	601	601
78.0	1.219521	619	619
79.0	1.219521	543	543
80.0	1.219521	563	563
81.0	1.219521	529	529
82.0	1.219521	512	512
83.0	1.219521	509	509
84.0	1.219521	510	510
85.0	1.219521	533	533
86.0	1.219521	493	493
87.0	1.219521	438	438
88.0	1.219521	427	427
89.0	1.219521	472	472
90.0	1.219521	431	431
91.0	1.219521	417	417
92.0	1.219521	408	408
93.0	1.219521	428	428
94.0	1.219521	363	363
95.0	1.219521	383	383
96.0	1.219521	338	338
97.0	1.219521	352	352
98.0	1.219521	371	371
99.0	1.219521	329	329
100.0	1.219521	318	318
101.0	0	320	320
102.0	0	306	306
103.0	0	302	302
104.0	0	305	305
105.0	0	269	269
106.0	0	257	257
107.0	0	275	275
108.0	0	252	252
109.0	0	242	242
110.0	0	281	281
111.0	0	256	256
112.0	0	252	252
113.0	0	230	230
114.0	0	291	291
115.0	0	257	257
116.0	0	215	215
117.0	0	223	223
118.0	0	236	236
119.0	0	204	204
120.0	0	248	248
121.0	0	204	204
122.0	0	193	193
123.0	0	207	207
124.0	0	193	193
125.0	0	194	194
126.0	0	184	184
127.0	0	175	175
128.0	0	203	203
129.0	0	194	194
130.0	0	172	172
131.0	0	180	180
132.0	0	145	145
133.0	0	173	173
134.0	0	166	166
135.0	0	156	156
136.0	0	167	167
137.0	0	148	148
138.0	0	163	163
139.0	0	130	130
140.0	0	152	152
141.0	0	159	159
142.0	0	140	140
143.0	0	124	124
144.0	0	146	146
145.0	0	128	128
146.0	0	149	149
147.0	0	123	123
148.0	0	130	130
149.0	0	136	136
150.0	0	129	129
151.0	0	117	117
152.0	0	122	122
153.0	0	126	126
154.0	0	131	131
155.0	0	115	115
156.0	0	94	94
157.0	0	101	101
158.0	0	109	109
159.0	0	117	117
160.0	0	94	94
161.0	0	106	106
162.0	0	120	120
163.0	0	110	110
164.0	0	98	98
165.0	0	92	92
166.0	0	111	111
167.0	0	116	116
168.0	0	107	107
169.0	0	90	90
170.0	0	98	98
171.0	0	96	96
172.0	0	94	94
173.0	0	100	100
174.0	0	87	87
175.0	0	81	81
176.0	0	81	81
177.0	0	87	87
178.0	0	86	86
179.0	0	87	87
180.0	0	76	76
181.0	0	85	85
182.0	0	97	97
183.0	0	84	84
184.0	0	83	83
185.0	0	74	74
186.0	0	77	77
187.0	0	75	75
188.0	0	86	86
189.0	0	69	69
190.0	0	59	59
191.0	0	73	73
192.0	0	63	63
193.0	0	62	62
194.0	0	72	72
195.0	0	65	65
196.0	0	71	71
197.0	0	60	60
198.0	0	60	60
199.0	0	59	59
200.0	0	55	55
201.0	0	77	77
202.0	0	57	57
203.0	0	57	57
204.0	0	58	58
205.0	0	59	59
206.0	0	59	59
207.0	0	54	54
208.0	0	44	44
209.0	0	47	47
210.0	0	60	60
211.0	0	57	57
212.0	0	47	47
213.0	0	60	60
214.0	0	58	58
215.0	0	65	65
216.0	0	55	55
217.0	0	52	52
218.0	0	54	54
219.0	0	50	50
220.0	0	57	57
221.0	0	52	52
222.0	0	60	60
223.0	0	44	44
224.0	0	49	49
225.0	0	42	42
226.0	0	47	47
227.0	0	37	37
228.0	0	53	53
229.0	0	47	47
230.0	0	48	48
231.0	0	46	46
232.0	0	37	37
233.0	0	44	44
234.0	0	36	36
235.0	0	45	45
236.0	0	38	38
237.0	0	42	42
238.0	0	47	47
239.0	0	33	33
240.0	0	48	48
241.0	0	36	36
242.0	0	60	60
243.0	0	43	43
244.0	0	48	48
245.0	0	45	45
246.0	0	41	41
247.0	0	46	46
248.0	0	34	34
249.0	0	33	33
250.0	0	44	44
251.0	0	39	39
252.0	0	35	35
253.0	0	44	44
254.0	0	33	33
255.0	0	33	33
256.0	0	32	32
257.0	0	26	26
258.0	0	52	52
259.0	0	37	37
260.0	0	30	30
261.0	0	30	30
262.0	0	25	25
263.0	0	47	47
264.0	0	34	34
265.0	0	32	32
266.0	0	32	32
267.0	0	31	31
268.0	0	42	42
269.0	0	25	25
270.0	0	22	22
271.0	0	28	28
272.0	0	29	29
273.0	0	26	26
274.0	0	36	36
275.0	0	31	31
276.0	0	33	33
277.0	0	21	21
278.0	0	30	30
279.0	0	23	23
280.0	0	22	22
281.0	0	27	27
282.0	0	28	28
283.0	0	21	21
284.0	0	25	25
285.0	0	29	29
286.0	0	27	27
287.0	0	25	25
288.0	0	30	30
289.0	0	25	25
290.0	0	19	19
291.0	0	21	21
292.0	0	22	22
293.0	0	25	25
294.0	0	30	30
295.0	0	20	20
296.0	0	33	33
297.0	0	31	31
298.0	0	15	15
299.0	0	28	28
300.0	0	21	21
301.0	0	25	25
302.0	0	18	18
303.0	0	23	23
304.0	0	23	23
305.0	0	32	32
306.0	0	22	22
307.0	0	20	20
308.0	0	17	17
309.0	0	25	25
310.0	0	31	31
311.0	0	19	19
312.0	0	17	17
313.0	0	22	22
314.0	0	18	18
315.0	0	23	23
316.0	0	21	21
317.0	0	26	26
318.0	0	17	17
319.0	0	16	16
320.0	0	16	16
321.0	0	25	25
322.0	0	19	19
323.0	0	27	27
324.0	0	27	27
325.0	0	16	16
326.0	0	15	15
327.0	0	22	22
328.0	0	21	21
329.0	0	15	15
330.0	0	32	32
331.0	0	21	21
332.0	0	15	15
333.0	0	13	13
334.0	0	13	13
335.0	0	23	23
336.0	0	10	10
337.0	0	22	22
338.0	0	24	24
339.0	0	20	20
340.0	0	13	13
341.0	0	21	21
342.0	0	13	13
343.0	0	12	12
344.0	0	17	17
345.0	0	19	19
346.0	0	9	9
347.0	0	12	12
348.0	0	23	23
349.0	0	14	14
350.0	0	11	11
351.0	0	9	9
352.0	0	13	13
353.0	0	15	15
354.0	0	27	27
355.0	0	19	19
356.0	0	17	17
357.0	0	9	9
358.0	0	13	13
359.0	0	18	18
360.0	0	14	14
361.0	0	18	18
362.0	0	15	15
363.0	0	18	18
364.0	0	17	17
365.0	0	14	14
