## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT K562_REP1.sorted.bam --OUTPUT K562_REP1.markdup.sorted.bam --METRICS_FILE K562_REP1.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Mar 22 02:21:24 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	78070623	0	0	0	66655956	0	0.85379	11426991

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	2462196	2462196
2.0	1.001078	1489980	1489980
3.0	1.00108	1117572	1117572
4.0	1.00108	903175	903175
5.0	1.00108	756584	756584
6.0	1.00108	646482	646482
7.0	1.00108	555418	555418
8.0	1.00108	482459	482459
9.0	1.00108	418604	418604
10.0	1.00108	364214	364214
11.0	1.00108	317413	317413
12.0	1.00108	275909	275909
13.0	1.00108	239779	239779
14.0	1.00108	206195	206195
15.0	1.00108	178210	178210
16.0	1.00108	149812	149812
17.0	1.00108	126972	126972
18.0	1.00108	105652	105652
19.0	1.00108	87160	87160
20.0	1.00108	71454	71454
21.0	1.00108	58307	58307
22.0	1.00108	47592	47592
23.0	1.00108	39597	39597
24.0	1.00108	33002	33002
25.0	1.00108	28031	28031
26.0	1.00108	23832	23832
27.0	1.00108	20670	20670
28.0	1.00108	18145	18145
29.0	1.00108	15955	15955
30.0	1.00108	14292	14292
31.0	1.00108	12695	12695
32.0	1.00108	11443	11443
33.0	1.00108	10150	10150
34.0	1.00108	9132	9132
35.0	1.00108	8130	8130
36.0	1.00108	7148	7148
37.0	1.00108	6339	6339
38.0	1.00108	6010	6010
39.0	1.00108	5074	5074
40.0	1.00108	4590	4590
41.0	1.00108	4105	4105
42.0	1.00108	3748	3748
43.0	1.00108	3476	3476
44.0	1.00108	3160	3160
45.0	1.00108	2811	2811
46.0	1.00108	2629	2629
47.0	1.00108	2352	2352
48.0	1.00108	2191	2191
49.0	1.00108	2004	2004
50.0	1.00108	1927	1927
51.0	1.00108	1779	1779
52.0	1.00108	1544	1544
53.0	1.00108	1558	1558
54.0	1.00108	1418	1418
55.0	1.00108	1410	1410
56.0	1.00108	1267	1267
57.0	1.00108	1251	1251
58.0	1.00108	1168	1168
59.0	1.00108	1115	1115
60.0	1.00108	1086	1086
61.0	1.00108	1027	1027
62.0	1.00108	1013	1013
63.0	1.00108	919	919
64.0	1.00108	876	876
65.0	1.00108	819	819
66.0	1.00108	790	790
67.0	1.00108	765	765
68.0	1.00108	758	758
69.0	1.00108	753	753
70.0	1.00108	689	689
71.0	1.00108	609	609
72.0	1.00108	649	649
73.0	1.00108	594	594
74.0	1.00108	561	561
75.0	1.00108	589	589
76.0	1.00108	531	531
77.0	1.00108	545	545
78.0	1.00108	551	551
79.0	1.00108	451	451
80.0	1.00108	481	481
81.0	1.00108	500	500
82.0	1.00108	416	416
83.0	1.00108	437	437
84.0	1.00108	452	452
85.0	1.00108	418	418
86.0	1.00108	374	374
87.0	1.00108	366	366
88.0	1.00108	356	356
89.0	1.00108	364	364
90.0	1.00108	352	352
91.0	1.00108	310	310
92.0	1.00108	336	336
93.0	1.00108	295	295
94.0	1.00108	297	297
95.0	1.00108	300	300
96.0	1.00108	266	266
97.0	1.00108	279	279
98.0	1.00108	260	260
99.0	1.00108	269	269
100.0	1.00108	265	265
101.0	0	251	251
102.0	0	257	257
103.0	0	250	250
104.0	0	248	248
105.0	0	242	242
106.0	0	230	230
107.0	0	205	205
108.0	0	195	195
109.0	0	202	202
110.0	0	214	214
111.0	0	213	213
112.0	0	222	222
113.0	0	191	191
114.0	0	193	193
115.0	0	167	167
116.0	0	186	186
117.0	0	174	174
118.0	0	160	160
119.0	0	142	142
120.0	0	165	165
121.0	0	170	170
122.0	0	145	145
123.0	0	158	158
124.0	0	141	141
125.0	0	171	171
126.0	0	155	155
127.0	0	149	149
128.0	0	139	139
129.0	0	126	126
130.0	0	144	144
131.0	0	120	120
132.0	0	137	137
133.0	0	116	116
134.0	0	123	123
135.0	0	136	136
136.0	0	116	116
137.0	0	115	115
138.0	0	113	113
139.0	0	114	114
140.0	0	92	92
141.0	0	93	93
142.0	0	119	119
143.0	0	99	99
144.0	0	84	84
145.0	0	92	92
146.0	0	103	103
147.0	0	99	99
148.0	0	97	97
149.0	0	98	98
150.0	0	88	88
151.0	0	93	93
152.0	0	116	116
153.0	0	89	89
154.0	0	98	98
155.0	0	85	85
156.0	0	80	80
157.0	0	73	73
158.0	0	83	83
159.0	0	82	82
160.0	0	74	74
161.0	0	70	70
162.0	0	73	73
163.0	0	93	93
164.0	0	75	75
165.0	0	68	68
166.0	0	65	65
167.0	0	73	73
168.0	0	78	78
169.0	0	66	66
170.0	0	60	60
171.0	0	59	59
172.0	0	60	60
173.0	0	61	61
174.0	0	63	63
175.0	0	50	50
176.0	0	60	60
177.0	0	46	46
178.0	0	58	58
179.0	0	51	51
180.0	0	70	70
181.0	0	64	64
182.0	0	55	55
183.0	0	60	60
184.0	0	48	48
185.0	0	58	58
186.0	0	51	51
187.0	0	59	59
188.0	0	47	47
189.0	0	55	55
190.0	0	60	60
191.0	0	51	51
192.0	0	46	46
193.0	0	37	37
194.0	0	45	45
195.0	0	53	53
196.0	0	45	45
197.0	0	33	33
198.0	0	50	50
199.0	0	37	37
200.0	0	42	42
201.0	0	42	42
202.0	0	36	36
203.0	0	35	35
204.0	0	42	42
205.0	0	52	52
206.0	0	48	48
207.0	0	39	39
208.0	0	42	42
209.0	0	27	27
210.0	0	47	47
211.0	0	39	39
212.0	0	39	39
213.0	0	32	32
214.0	0	53	53
215.0	0	32	32
216.0	0	26	26
217.0	0	35	35
218.0	0	23	23
219.0	0	50	50
220.0	0	33	33
221.0	0	31	31
222.0	0	33	33
223.0	0	35	35
224.0	0	28	28
225.0	0	35	35
226.0	0	34	34
227.0	0	32	32
228.0	0	29	29
229.0	0	35	35
230.0	0	39	39
231.0	0	34	34
232.0	0	33	33
233.0	0	39	39
234.0	0	30	30
235.0	0	30	30
236.0	0	27	27
237.0	0	26	26
238.0	0	30	30
239.0	0	37	37
240.0	0	23	23
241.0	0	32	32
242.0	0	24	24
243.0	0	37	37
244.0	0	32	32
245.0	0	33	33
246.0	0	24	24
247.0	0	19	19
248.0	0	23	23
249.0	0	24	24
250.0	0	27	27
251.0	0	17	17
252.0	0	27	27
253.0	0	29	29
254.0	0	25	25
255.0	0	20	20
256.0	0	24	24
257.0	0	24	24
258.0	0	32	32
259.0	0	22	22
260.0	0	20	20
261.0	0	17	17
262.0	0	31	31
263.0	0	21	21
264.0	0	18	18
265.0	0	7	7
266.0	0	23	23
267.0	0	20	20
268.0	0	20	20
269.0	0	21	21
270.0	0	25	25
271.0	0	24	24
272.0	0	19	19
273.0	0	27	27
274.0	0	16	16
275.0	0	25	25
276.0	0	26	26
277.0	0	16	16
278.0	0	15	15
279.0	0	24	24
280.0	0	12	12
281.0	0	16	16
282.0	0	20	20
283.0	0	20	20
284.0	0	13	13
285.0	0	18	18
286.0	0	14	14
287.0	0	12	12
288.0	0	18	18
289.0	0	24	24
290.0	0	14	14
291.0	0	17	17
292.0	0	11	11
293.0	0	18	18
294.0	0	14	14
295.0	0	23	23
296.0	0	16	16
297.0	0	14	14
298.0	0	16	16
299.0	0	12	12
300.0	0	16	16
301.0	0	17	17
302.0	0	19	19
303.0	0	13	13
304.0	0	22	22
305.0	0	20	20
306.0	0	20	20
307.0	0	14	14
308.0	0	19	19
