## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT MCF7_REP1.sorted.bam --OUTPUT MCF7_REP1.markdup.sorted.bam --METRICS_FILE MCF7_REP1.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Mar 22 01:01:05 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	111376398	0	0	0	40212458	0	0.36105	114307716

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	55319685	55319685
2.0	1.377435	10806373	10806373
3.0	1.519893	2655317	2655317
4.0	1.573661	896283	896283
5.0	1.593955	412928	412928
6.0	1.601615	236149	236149
7.0	1.604506	154351	154351
8.0	1.605597	108303	108303
9.0	1.606009	80263	80263
10.0	1.606165	61686	61686
11.0	1.606223	49139	49139
12.0	1.606246	39677	39677
13.0	1.606254	33028	33028
14.0	1.606257	28006	28006
15.0	1.606258	23431	23431
16.0	1.606259	20242	20242
17.0	1.606259	17550	17550
18.0	1.606259	15271	15271
19.0	1.606259	13591	13591
20.0	1.606259	11919	11919
21.0	1.606259	10656	10656
22.0	1.606259	9560	9560
23.0	1.606259	8792	8792
24.0	1.606259	7873	7873
25.0	1.606259	7264	7264
26.0	1.606259	6484	6484
27.0	1.606259	6124	6124
28.0	1.606259	5506	5506
29.0	1.606259	5252	5252
30.0	1.606259	4796	4796
31.0	1.606259	4491	4491
32.0	1.606259	4156	4156
33.0	1.606259	3790	3790
34.0	1.606259	3599	3599
35.0	1.606259	3307	3307
36.0	1.606259	3140	3140
37.0	1.606259	3022	3022
38.0	1.606259	2837	2837
39.0	1.606259	2640	2640
40.0	1.606259	2485	2485
41.0	1.606259	2360	2360
42.0	1.606259	2140	2140
43.0	1.606259	1982	1982
44.0	1.606259	2040	2040
45.0	1.606259	1888	1888
46.0	1.606259	1939	1939
47.0	1.606259	1656	1656
48.0	1.606259	1639	1639
49.0	1.606259	1555	1555
50.0	1.606259	1430	1430
51.0	1.606259	1420	1420
52.0	1.606259	1342	1342
53.0	1.606259	1325	1325
54.0	1.606259	1214	1214
55.0	1.606259	1161	1161
56.0	1.606259	1154	1154
57.0	1.606259	1055	1055
58.0	1.606259	1063	1063
59.0	1.606259	976	976
60.0	1.606259	973	973
61.0	1.606259	939	939
62.0	1.606259	896	896
63.0	1.606259	851	851
64.0	1.606259	849	849
65.0	1.606259	828	828
66.0	1.606259	850	850
67.0	1.606259	793	793
68.0	1.606259	756	756
69.0	1.606259	743	743
70.0	1.606259	725	725
71.0	1.606259	675	675
72.0	1.606259	609	609
73.0	1.606259	652	652
74.0	1.606259	625	625
75.0	1.606259	561	561
76.0	1.606259	564	564
77.0	1.606259	547	547
78.0	1.606259	545	545
79.0	1.606259	545	545
80.0	1.606259	558	558
81.0	1.606259	463	463
82.0	1.606259	475	475
