## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT MCF7_REP2.sorted.bam --OUTPUT MCF7_REP2.markdup.sorted.bam --METRICS_FILE MCF7_REP2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 21 23:03:54 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	115380431	0	0	0	49079584	0	0.425372	93559192

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	45989770	45989770
2.0	1.291349	13056837	13056837
3.0	1.376233	3989623	3989623
4.0	1.400964	1399812	1399812
5.0	1.408169	601550	601550
6.0	1.410268	315391	315391
7.0	1.41088	193022	193022
8.0	1.411058	130247	130247
9.0	1.41111	94243	94243
10.0	1.411125	71312	71312
11.0	1.411129	55479	55479
12.0	1.411131	44644	44644
13.0	1.411131	36110	36110
14.0	1.411131	30109	30109
15.0	1.411131	25304	25304
16.0	1.411131	21607	21607
17.0	1.411131	18649	18649
18.0	1.411131	16142	16142
19.0	1.411131	14363	14363
20.0	1.411131	12864	12864
21.0	1.411131	11243	11243
22.0	1.411131	10127	10127
23.0	1.411131	9064	9064
24.0	1.411131	8136	8136
25.0	1.411131	7340	7340
26.0	1.411131	6806	6806
27.0	1.411131	6269	6269
28.0	1.411131	5641	5641
29.0	1.411131	5385	5385
30.0	1.411131	4795	4795
31.0	1.411131	4591	4591
32.0	1.411131	4239	4239
33.0	1.411131	3944	3944
34.0	1.411131	3686	3686
35.0	1.411131	3455	3455
36.0	1.411131	3240	3240
37.0	1.411131	3034	3034
38.0	1.411131	2739	2739
39.0	1.411131	2724	2724
40.0	1.411131	2477	2477
41.0	1.411131	2318	2318
42.0	1.411131	2207	2207
43.0	1.411131	2141	2141
44.0	1.411131	1932	1932
45.0	1.411131	1886	1886
46.0	1.411131	1755	1755
47.0	1.411131	1710	1710
48.0	1.411131	1672	1672
49.0	1.411131	1537	1537
50.0	1.411131	1459	1459
51.0	1.411131	1399	1399
52.0	1.411131	1329	1329
53.0	1.411131	1287	1287
54.0	1.411131	1272	1272
55.0	1.411131	1204	1204
56.0	1.411131	1190	1190
57.0	1.411131	1139	1139
58.0	1.411131	1016	1016
59.0	1.411131	1030	1030
60.0	1.411131	1020	1020
61.0	1.411131	916	916
62.0	1.411131	954	954
63.0	1.411131	866	866
64.0	1.411131	850	850
65.0	1.411131	875	875
66.0	1.411131	794	794
67.0	1.411131	755	755
68.0	1.411131	730	730
69.0	1.411131	732	732
70.0	1.411131	729	729
71.0	1.411131	742	742
72.0	1.411131	628	628
73.0	1.411131	596	596
74.0	1.411131	621	621
75.0	1.411131	570	570
76.0	1.411131	576	576
77.0	1.411131	562	562
78.0	1.411131	507	507
79.0	1.411131	530	530
80.0	1.411131	480	480
81.0	1.411131	486	486
