task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	22/17bdb0	5154	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	COMPLETED	0	2026-03-20 04:56:57.711	24.5s	8s	100.1%	5.9 MB	12 MB	2.9 GB	5.8 KB
7	63/a5a95b	5865	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (K562_REP1)	COMPLETED	0	2026-03-20 04:58:21.924	7m 38s	7m 21s	204.3%	1.3 GB	6.1 GB	14.2 GB	3.6 MB
8	67/40fa81	11336	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (K562_REP1)	COMPLETED	0	2026-03-20 05:06:00.220	47m 32s	46m 52s	492.5%	3.1 GB	4.8 GB	281.1 GB	266.8 GB
17	d8/9aa978	57999	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (H1_REP1)	COMPLETED	0	2026-03-20 05:53:32.356	7m 25s	7m 24s	197.2%	1.3 GB	6.1 GB	16 GB	3.9 MB
13	3a/7517c7	63496	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (H1_REP1)	COMPLETED	0	2026-03-20 06:00:56.988	49m 4s	49m 3s	502.5%	3.2 GB	4.8 GB	326 GB	309.9 GB
4	c8/e785e7	124564	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_REP1)	COMPLETED	0	2026-03-20 06:50:00.551	6m 54s	6m 52s	197.5%	1.4 GB	6.1 GB	14 GB	3.6 MB
3	4e/2fb1b7	129685	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_REP1)	COMPLETED	0	2026-03-20 06:56:54.176	47m 43s	47m 43s	494.9%	3.3 GB	4.8 GB	285.7 GB	271.6 GB
12	b7/dec6ce	176905	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (MCF7_REP2)	COMPLETED	0	2026-03-20 07:44:37.616	51m 47s	51m 46s	505.8%	3.3 GB	4.8 GB	347.5 GB	330.6 GB
16	a7/bd9abb	225713	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (MCF7_REP2)	COMPLETED	0	2026-03-20 08:36:24.874	7m 51s	7m 50s	198.4%	1.3 GB	6.1 GB	16.8 GB	3.8 MB
6	dd/61022e	231452	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_REP2)	COMPLETED	0	2026-03-20 08:44:15.530	49m 6s	49m 6s	497.4%	3.2 GB	4.8 GB	297.3 GB	282.7 GB
5	26/1d817f	279045	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_REP2)	COMPLETED	0	2026-03-20 09:33:21.391	7m 23s	7m 21s	197.8%	1.4 GB	6.1 GB	14.5 GB	3.6 MB
15	fc/a2e793	284495	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (MCF7_REP1)	COMPLETED	0	2026-03-20 09:40:44.114	7m 43s	7m 43s	197.2%	1.4 GB	6.1 GB	17.1 GB	3.9 MB
11	80/80a350	290163	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (MCF7_REP1)	COMPLETED	0	2026-03-20 09:48:27.451	49m 3s	49m 3s	503.3%	3.1 GB	4.8 GB	334.2 GB	316.9 GB
2	ad/d74d39	337439	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_FILTER (genome.fa)	COMPLETED	0	2026-03-20 10:37:30.582	42.5s	27s	59.3%	15.2 MB	19.9 MB	3.8 GB	799.4 MB
10	1c/82797c	338403	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (K562_REP2)	COMPLETED	0	2026-03-20 10:38:13.115	56m 58s	56m 57s	497.5%	3.3 GB	4.8 GB	345.9 GB	328.3 GB
