gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000000003	TSPAN6	8	0	8591.779	4593.954	3	2	6736.202	4243.111
ENSG00000000005	TNMD	0	0	71	35	0	0	3	0
ENSG00000000419	DPM1	4301	3755	2015.892	867.519	6695.001	9275.001	11453.745	11043.872
ENSG00000000457	SCYL3	2083.833	1690.052	680.153	469.027	1040.558	1531.32	2280.987	2335.835
ENSG00000000460	C1orf112	2016.01	1746.024	3981.889	1951.693	3122.169	3223	4750.222	3933.307
ENSG00000000938	FGR	11031	12003.999	146	111	1	2	0	4
ENSG00000000971	CFH	2	0	0	1	7048	7931.989	13.395	13
ENSG00000001036	FUCA2	2190	2191	3563.085	1880.089	6956.001	8048	6207.61	7973.237
ENSG00000001084	GCLC	1780.001	1817.999	3186.462	1925.483	743.999	1488.13	6456.29	6182.169
ENSG00000001167	NFYA	3508	3908	2696.899	2188.766	3228	3555	3562.257	2813.347
ENSG00000001460	STPG1	36	28	1759.398	1391.293	570	609	551.84	452.734
ENSG00000001461	NIPAL3	455.999	562.001	1680.089	1293	2432	2880.004	2047.632	1894
ENSG00000001497	LAS1L	7302.001	6912	6625.231	7191.097	11163	15421	6193.408	8036.471
ENSG00000001561	ENPP4	890	647	621.848	307.03	0	0	1306	1397.055
ENSG00000001617	SEMA3F	0	2	4767.326	7046.649	144	164	3404.031	4635.194
ENSG00000001626	CFTR	7	4	296.034	68	0	0	2	2
ENSG00000001629	ANKIB1	4686	3971	5744.637	3267.698	2948.001	3155.084	18705.419	17909.1
ENSG00000001630	CYP51A1	7533.999	6199	2167.039	1957.484	8850.675	11129.2	5912.372	6100.169
ENSG00000001631	KRIT1	3321.116	2454.006	1678.33	918.166	4762.573	5919.614	5796.93	5508.802
ENSG00000002016	RAD52	687.504	728.229	1551.375	1057.703	846.07	840.454	967.604	995.547
ENSG00000002079	MYH16	9	1	0	0	14	8	35	40
ENSG00000002330	BAD	1996.999	2623.001	1844.276	1685.351	1289	1413.998	628.001	977
ENSG00000002549	LAP3	12378.999	10774	3322.318	1825.296	7102	8959.999	5801.31	6899.16
ENSG00000002586	CD99	11035	10720	2195.979	2801.737	1893	2093	1830.669	3606.142
ENSG00000002587	HS3ST1	47	28	185	170.043	4.001	5.001	24.033	17.001
ENSG00000002726	AOC1	0	0	27	28	0	0	0	2
ENSG00000002745	WNT16	3	0	14	37	0	0	71	45
ENSG00000002746	HECW1	15	1	558.99	661.999	6	0	18.078	29
ENSG00000002822	MAD1L1	2483.999	2906	2736.705	3020.151	2110.937	2841.071	1586.018	2677.149
ENSG00000002834	LASP1	15384.021	16578.999	19123.612	23737.07	12139.999	17405.342	8348.508	10326.302
ENSG00000002919	SNX11	5371.999	5260	3129.619	2128.036	1321.999	1581.045	2275.18	2402.001
ENSG00000002933	TMEM176A	0	0	96	54.999	0	0	0	0
ENSG00000003056	M6PR	10048.062	9066.999	8829.278	5332.65	8025	9026.999	12200.959	13334.402
ENSG00000003096	KLHL13	1892	1563.361	1371.95	719.342	399	365	2075	1695.999
ENSG00000003137	CYP26B1	0	0	20	46	0	0	292.999	493.001
ENSG00000003147	ICA1	143.999	124.001	2114.225	1199.153	1453.408	1754.195	4774.297	4654.138
ENSG00000003249	DBNDD1	96	142	11682.705	13763.518	938	965	2793.394	4525.555
ENSG00000003393	ALS2	1730	1581	4197.532	2954.425	2495	2494	4086.022	3778.093
ENSG00000003400	CASP10	1611.76	1611	666.433	503.996	1614.999	1853.999	99.643	107.871
ENSG00000003402	CFLAR	11842.005	10895.001	1007.109	714.426	6661.998	8540	4909.449	4393.463
ENSG00000003436	TFPI	34	6	427.819	155.098	5463	7146.999	185.999	264
ENSG00000003509	NDUFAF7	2696	1944.999	4688.438	2618.272	2442.001	2770.224	2033.127	2021.001
ENSG00000003756	RBM5	14227.997	12068.001	14653.607	9498.003	6968.001	9434.201	28554.39	28973.087
ENSG00000003987	MTMR7	2	1	596.001	344.999	0	9	345	527.034
ENSG00000003989	SLC7A2	0	0	3361.215	2755.647	0	0	16887.445	41512.731
ENSG00000004059	ARF5	7611.001	8300.802	34425.661	30722.96	8752.818	12484.008	8730.163	11778.933
ENSG00000004139	SARM1	3259.999	3409.321	1189.99	1154.611	16	9.109	772.781	851.218
ENSG00000004142	POLDIP2	13158	13592	10421.794	10791.624	9899	11776.537	5672.309	7543.336
ENSG00000004399	PLXND1	13	5	4237.055	5204.226	2974.001	3120.646	6679.599	10203.455
ENSG00000004455	AK2	21281.227	19952	7704.462	6095.543	42559.903	53759.529	12625.957	14474.459
ENSG00000004468	CD38	2246	2122	58.128	49.084	2	2	10.058	10.018
ENSG00000004478	FKBP4	6643	7061.001	17144.931	16640.334	13261.999	15873.001	30203.372	52147.835
ENSG00000004487	KDM1A	13630.002	12897.001	27907.158	19485.211	16899	23393.999	15607.938	14838.676
ENSG00000004534	RBM6	10361.971	8992	5261.7	2880.183	6932.999	9138.964	15035.722	16381.445
ENSG00000004660	CAMKK1	71	65	1703.025	2124.132	1134.001	1255.001	425	517.009
ENSG00000004700	RECQL	7063	5671	1584.643	711.492	2615	3719	4124.999	3809.998
ENSG00000004766	CCDC132	1482	1210	617.408	336.431	1490	1953.001	2884.19	2549.719
ENSG00000004776	HSPB6	7	25	87	133	0	0	4	10
ENSG00000004777	ARHGAP33	1814	2139.001	1017	1923.324	1100	1481	689.999	1108.099
ENSG00000004779	NDUFAB1	9314.001	8235.126	10296.001	7247.324	12583.999	13409.93	10295	10404.429
ENSG00000004799	PDK4	2	0	5	4	4	15	477	290
ENSG00000004809	SLC22A16	0	0	0	0	0	0	3	0
ENSG00000004838	ZMYND10	51	59	55.025	46.022	111	63.016	68.021	93.485
ENSG00000004846	ABCB5	0	0	1	1	0	0	2.004	0
ENSG00000004848	ARX	4.044	0	1	9	0	4	55	106
ENSG00000004864	SLC25A13	1897	1809.999	5918.255	3883.18	5934.001	7771	5451.273	6189.83
ENSG00000004866	ST7	4550.413	4277.955	2711.591	1508.504	3024.001	3074.59	1649.308	2095.999
ENSG00000004897	CDC27	8353.997	7116	3459.751	1870.383	7938.001	9912.999	8383.456	7480.58
ENSG00000004939	SLC4A1	7	7.103	25.703	23.007	129	74.323	3.055	9.013
ENSG00000004948	CALCR	0	0	170.112	133	6	4	7256.344	10537.883
ENSG00000004961	HCCS	2122.001	1814	1051.016	718.725	3792	5504	2902.407	2730.763
ENSG00000004975	DVL2	2564.998	2732.001	2545.04	3320.16	2693.999	2975	1107.04	1258.002
ENSG00000005001	PRSS22	0	0	281.998	350	0	14	1274.001	1101.999
ENSG00000005007	UPF1	7420	10381.001	8811.484	12804.029	7424.001	9411.303	9316.853	12885.914
ENSG00000005020	SKAP2	1963	1969.209	150	60	648	928	3394.615	2930.849
ENSG00000005022	SLC25A5	31296.183	31579.457	49663.599	49928.004	30055.999	35372.999	65243.814	75097.295
ENSG00000005059	CCDC109B	2809	2288	1187.001	677	596	849	1885.379	2233
ENSG00000005073	HOXA11	0	0	0	0	0	0	57	58
ENSG00000005075	POLR2J	3801.579	4120.354	5304.076	4392.143	6173.043	7705.897	3426.596	4808.884
ENSG00000005100	DHX33	5842	5976.713	10552.754	8647.065	3154	3453.001	6847.583	7323.465
ENSG00000005102	MEOX1	49	52	1	3	0	0	0	0
ENSG00000005108	THSD7A	0	0	278	202	0	0	4	18
ENSG00000005156	LIG3	4639.999	4564.001	9548.259	8342.162	5211	6350.998	3020.001	3895.804
ENSG00000005175	RPAP3	2328	1916.999	899.108	420	4494.999	6386.999	4172.999	4039.067
ENSG00000005187	ACSM3	215	277.999	494	349.06	8592	10827.961	151.323	95
ENSG00000005189	AC004381.6	1159	948.001	380.015	261.999	2421.001	3029	1436.022	1832
ENSG00000005194	CIAPIN1	4107	3526	9372.581	6670.536	6242.999	7381.999	3567.996	3938.332
ENSG00000005206	SPPL2B	5301.001	5738	5114.721	9841.589	5364	8137.999	1939.514	3345.58
ENSG00000005238	FAM214B	542	384	1837.282	1959.987	910	1092	779.289	702
ENSG00000005243	COPZ2	128	99.999	15	9.001	1	0	434.981	471.989
ENSG00000005249	PRKAR2B	0	2	2602.863	1404.025	13996	15581	1583.95	1646.931
ENSG00000005302	MSL3	5032	4421	1318.995	980.905	3108	4419.2	2742.35	2476.908
ENSG00000005339	CREBBP	4015.988	5181	5670.125	7797.951	2281	3231.092	14483.869	13316.895
ENSG00000005379	BZRAP1	1389.002	1668.998	1491.091	1841.658	389.001	734.001	1	3
ENSG00000005381	MPO	21	21	18	30	3	0	0	0
ENSG00000005421	PON1	15	0	2	1	0	0	0	0
ENSG00000005436	GCFC2	1786.001	1367.001	734.003	376.009	1715.998	2497	1351.999	1108.015
ENSG00000005448	WDR54	4005.998	3713.073	7294.845	6930.098	471.999	411.999	1644.043	2151.029
ENSG00000005469	CROT	1112.999	853	391.999	200	443	674	5597.998	4679.987
ENSG00000005471	ABCB4	817.001	725	102	57	8	53	52	40
ENSG00000005483	KMT2E	3340	3638	2692.58	2516.17	3759	5191.482	8370.082	7022.721
ENSG00000005486	RHBDD2	1427	1524	6468.784	7342.098	1396.001	1682	4390.169	4406.208
ENSG00000005513	SOX8	0	0	492	825	15	24	27	29
ENSG00000005700	IBTK	4000	3378	1780.446	921.836	3455	4815	8795.144	7443.301
ENSG00000005801	ZNF195	2366	1979	3399.974	2146.326	4883	6627.001	4918.55	3477.039
ENSG00000005810	MYCBP2	14056	13199.007	4461.233	3005.01	3183	4513.999	9922.126	9434.138
ENSG00000005812	FBXL3	2400.001	1763.999	805	473.999	1234.999	1382	4628.999	4442.255
ENSG00000005844	ITGAL	13934.592	15098	2	6.003	2.005	1	26.005	22.057
ENSG00000005882	PDK2	929	901	5000.489	5779.779	72	90	1843.09	1953
ENSG00000005884	ITGA3	1243	1560.079	4323.449	5468.202	13	6.051	4721.077	6461.223
ENSG00000005889	ZFX	3463.001	3039.001	1250.062	751.872	1520	1991.999	8290.713	7120.696
ENSG00000005893	LAMP2	3938.29	2977.97	3492.814	1943.002	5000	6558	17060.616	17984.83
ENSG00000005955	GGNBP2	4631.999	4438	2302.016	1745.702	6255.001	8633	6922.137	6908.791
ENSG00000005961	ITGA2B	24	19	1340.023	1802.217	1694	2282	267.063	404.055
ENSG00000005981	ASB4	5	4	1	0	0	0	1	3
ENSG00000006007	GDE1	2657.98	2886.993	5501.059	4544.54	2955.953	3177.901	12178.999	11194.877
ENSG00000006015	C19orf60	2576.001	3190	3167.609	5220.299	3677	5016.999	984.397	1638.073
ENSG00000006016	CRLF1	4	2	680	1139.74	128.024	124	185.006	415.006
ENSG00000006025	OSBPL7	2132.999	2188.001	1702.81	2058.097	1488	2028	2686.999	3121.24
ENSG00000006042	TMEM98	9	4	13330.645	12026.004	5022.999	5491.999	46.207	64.002
ENSG00000006047	YBX2	0	0	2304.356	3067.665	28	7	1051.03	1965.999
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	4543.001	4671	1296.001	1416.86	842.989	1153.843	1245.212	1274.133
ENSG00000006071	ABCC8	0	0	548.999	637.005	0	0	420.002	463.952
ENSG00000006074	CCL18	0	0	0	0	0	0	0	0
ENSG00000006075	CCL3	5585.986	5924.923	3	0	3	0	0	1
ENSG00000006114	SYNRG	5781.001	5572	3227.991	2180.199	2630.999	3423	3210.147	2490.672
ENSG00000006116	CACNG3	0	0	24	10	0	0	0	0
ENSG00000006118	TMEM132A	1029	1139	9170.836	11139.554	36	46	5213.761	8029.016
ENSG00000006125	AP2B1	12422	10954.001	33544.135	19362.332	23477.999	27886.53	18132.437	18531.882
ENSG00000006128	TAC1	0	0	104	120.026	3	7	0	0
ENSG00000006194	ZNF263	2191	2273.206	1056.237	1543.036	2303	3183.952	3069.843	2755.29
ENSG00000006210	CX3CL1	107	147	654.112	561	0	0	4	0
ENSG00000006282	SPATA20	5595.002	5227.999	2543.79	2728.536	253.999	369	3298.493	3875.461
ENSG00000006283	CACNA1G	2	2	1083.29	1932.983	0	0	19	16.002
ENSG00000006327	TNFRSF12A	49	32	6127.461	7118.22	2024	2824	2255.999	3959.318
ENSG00000006377	DLX6	0	0	0	0	0	0	0	0
ENSG00000006432	MAP3K9	1361	1514.001	7037.201	5616.188	89.999	68	8092.797	7093.605
ENSG00000006451	RALA	2873	2380.001	4660.653	2144.785	2660	3468	4473.523	4469.217
ENSG00000006453	BAIAP2L1	6781	7067.495	5020.282	5638.714	2568	3181	4322.002	3922.193
ENSG00000006459	KDM7A	192	179	1374.509	778.023	1715	2463.999	4249.282	2999.345
ENSG00000006468	ETV1	0	0	5039.888	3552.191	1366	1948	3	3
ENSG00000006530	AGK	5148.915	4485.999	3573.727	2242.495	7118	8042	4019.364	4491.919
ENSG00000006534	ALDH3B1	13	19	82.837	65.458	50	19	374.043	587.463
ENSG00000006555	TTC22	577	560	173.078	250	24	1	56	76.83
ENSG00000006576	PHTF2	4814.466	3816	1977.005	931.108	3672.001	5047.001	7580.392	7956.305
ENSG00000006606	CCL26	0	0	268	186.028	155	126	9	10
ENSG00000006607	FARP2	6194.998	6012.001	3637.605	2887.596	3267	4200	7628.396	7866.711
ENSG00000006611	USH1C	0	0	156.003	206	0	4	3	1
ENSG00000006625	GGCT	4352	4165	2994.71	2317.166	7015.998	8553.89	7239.421	7452.373
ENSG00000006634	DBF4	3045.102	2873.972	1169.828	810.18	4390.746	6151.417	5485.714	4551.201
ENSG00000006638	TBXA2R	0	12.125	88.454	102.44	654	900	10.415	20.487
ENSG00000006652	IFRD1	1763	1742	3321.426	2195.069	7421.003	8358.999	10809.989	10425.26
ENSG00000006659	LGALS14	150	203.999	25	7	0	0	5	0
