task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	65/997f9a	887592	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	COMPLETED	0	2026-03-21 06:02:57.561	20.4s	11s	95.7%	5.6 MB	12 MB	2.9 GB	5.8 KB
3	92/d5b30f	888428	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_REP1)	COMPLETED	0	2026-03-21 06:04:16.846	48m 30s	48m 26s	492.9%	3.1 GB	4.8 GB	285.7 GB	271.6 GB
4	4c/de495d	937196	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_REP1)	COMPLETED	0	2026-03-21 06:52:46.588	7m 2s	7m	198.2%	1.4 GB	6.1 GB	14 GB	3.6 MB
9	d8/ac551b	942357	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (MCF7_REP2)	COMPLETED	0	2026-03-21 06:59:48.181	51m 56s	51m 56s	504.1%	3.3 GB	4.8 GB	347.5 GB	330.6 GB
16	87/bef353	991746	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (MCF7_REP2)	COMPLETED	0	2026-03-21 07:51:44.421	7m 50s	7m 48s	198.0%	1.3 GB	6.1 GB	16.8 GB	3.8 MB
14	02/6c56a2	997498	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (K562_REP2)	COMPLETED	0	2026-03-21 07:59:33.985	8m 12s	8m 12s	199.2%	1.3 GB	6.1 GB	17.5 GB	3.6 MB
7	89/41c83a	1003518	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (K562_REP2)	COMPLETED	0	2026-03-21 08:07:46.410	57m 8s	57m 7s	496.1%	3.3 GB	4.8 GB	345.9 GB	328.3 GB
8	d4/45f846	1054561	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (MCF7_REP1)	COMPLETED	0	2026-03-21 09:04:54.089	48m 56s	48m 55s	503.2%	3.1 GB	4.8 GB	334.2 GB	316.9 GB
15	42/892b17	1101958	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (MCF7_REP1)	COMPLETED	0	2026-03-21 09:53:49.660	7m 44s	7m 42s	198.9%	1.5 GB	6.1 GB	17.1 GB	3.9 MB
12	2f/35006f	1107621	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_REP2)	COMPLETED	0	2026-03-21 10:01:33.263	7m 12s	7m 12s	197.4%	1.3 GB	6.1 GB	14.5 GB	3.6 MB
