sample,tool,threads,run,time_sec,dup_count,total_reads,peak_rss_kb
GM12878_REP2,samtools,1,1,5102,126547322,167447266,4510848
GM12878_REP2,samtools,1,2,5083,126547322,167447266,4511232
GM12878_REP2,samtools,1,3,5085,126547322,167447266,4511232
GM12878_REP2,samtools,4,1,1233,126547322,167447266,4513976
GM12878_REP2,samtools,4,2,1229,126547322,167447266,4514816
GM12878_REP2,samtools,4,3,1228,126547322,167447266,4514872
GM12878_REP2,samtools,8,1,1006,126547322,167447266,7230112
GM12878_REP2,samtools,8,2,1006,126547322,167447266,7230228
GM12878_REP2,samtools,8,3,998,126547322,167447266,7230092
MCF7_REP1,samtools,1,1,5894,80424916,222752796,13281220
MCF7_REP1,samtools,1,2,5902,80424916,222752796,13281108
MCF7_REP1,samtools,1,3,5925,80424916,222752796,13281504
MCF7_REP1,samtools,4,1,1441,80424916,222752796,13284240
MCF7_REP1,samtools,4,2,1440,80424916,222752796,13284980
MCF7_REP1,samtools,4,3,1438,80424916,222752796,13284428
MCF7_REP1,samtools,8,1,1188,80424916,222752796,13288416
MCF7_REP1,samtools,8,2,1187,80424916,222752796,13288660
MCF7_REP1,samtools,8,3,1181,80424916,222752796,13288564
H1_REP1,samtools,1,1,5901,111561962,223421772,12193024
H1_REP1,samtools,1,2,5883,111561962,223421772,12193280
H1_REP1,samtools,1,3,5882,111561962,223421772,12193024
H1_REP1,samtools,4,1,1461,111561962,223421772,12196052
H1_REP1,samtools,4,2,1458,111561962,223421772,12196040
H1_REP1,samtools,4,3,1460,111561962,223421772,12195944
H1_REP1,samtools,8,1,1187,111561962,223421772,12200276
H1_REP1,samtools,8,2,1188,111561962,223421772,12200576
H1_REP1,samtools,8,3,1190,111561962,223421772,12200448
GM12878_REP1,samtools,1,1,5080,125959080,166920856,3132520
GM12878_REP1,samtools,1,2,5071,125959080,166920856,3132288
GM12878_REP1,samtools,1,3,5058,125959080,166920856,3132544
GM12878_REP1,samtools,4,1,1223,125959080,166920856,3616808
GM12878_REP1,samtools,4,2,1219,125959080,166920856,3616964
GM12878_REP1,samtools,4,3,1217,125959080,166920856,3616836
GM12878_REP1,samtools,8,1,995,125959080,166920856,7229072
GM12878_REP1,samtools,8,2,995,125959080,166920856,7229208
GM12878_REP1,samtools,8,3,995,125959080,166920856,7229156
K562_REP2,samtools,1,1,5946,160964676,195837638,1915096
K562_REP2,samtools,1,2,5854,160964676,195837638,1915400
K562_REP2,samtools,1,3,5853,160964676,195837638,1915272
K562_REP2,samtools,4,1,1415,160964676,195837638,3625752
K562_REP2,samtools,4,2,1414,160964676,195837638,3625904
K562_REP2,samtools,4,3,1422,160964676,195837638,3625972
K562_REP2,samtools,8,1,1168,160964676,195837638,7245612
K562_REP2,samtools,8,2,1178,160964676,195837638,7245680
K562_REP2,samtools,8,3,1156,160964676,195837638,7245568
H1_REP2,samtools,1,1,4872,97362860,186588970,5554560
H1_REP2,samtools,1,2,4857,97362860,186588970,5554816
H1_REP2,samtools,1,3,4866,97362860,186588970,5554944
H1_REP2,samtools,4,1,1216,97362860,186588970,5558516
H1_REP2,samtools,4,2,1218,97362860,186588970,5558116
H1_REP2,samtools,4,3,1219,97362860,186588970,5557760
H1_REP2,samtools,8,1,991,97362860,186588970,7384008
H1_REP2,samtools,8,2,984,97362860,186588970,7384076
H1_REP2,samtools,8,3,990,97362860,186588970,7383992
MCF7_REP2,samtools,1,1,6148,98159168,230760862,11974704
MCF7_REP2,samtools,1,2,6151,98159168,230760862,11975200
MCF7_REP2,samtools,1,3,6143,98159168,230760862,11974764
MCF7_REP2,samtools,4,1,1523,98159168,230760862,11977692
MCF7_REP2,samtools,4,2,1520,98159168,230760862,11977880
MCF7_REP2,samtools,4,3,1520,98159168,230760862,11978244
MCF7_REP2,samtools,8,1,1242,98159168,230760862,11982452
MCF7_REP2,samtools,8,2,1241,98159168,230760862,11982096
MCF7_REP2,samtools,8,3,1248,98159168,230760862,11982392
K562_REP1,samtools,1,1,4575,133311912,156141246,2454144
K562_REP1,samtools,1,2,4586,133311912,156141246,2454016
K562_REP1,samtools,1,3,4576,133311912,156141246,2454272
K562_REP1,samtools,4,1,1148,133311912,156141246,3626216
K562_REP1,samtools,4,2,1138,133311912,156141246,3626432
K562_REP1,samtools,4,3,1138,133311912,156141246,3626204
K562_REP1,samtools,8,1,913,133311912,156141246,7247260
K562_REP1,samtools,8,2,917,133311912,156141246,7246876
K562_REP1,samtools,8,3,930,133311912,156141246,7247048
